// FoldWatcher
// ---------------------
// Coded by Dr.K@meleon <drkameleon@hotmail.com>
// 
// homepage : http://kameleon-nest.blogspot.com
//            http://sourceforge.net/projects/foldwatcher/
// ============================
// Filename : wus_list.dat
// Last Update : 17/05/2008
//
// -----------------------------------------------------------------
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU General Public License as published by
// the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU General Public License for more details.
//
// You should have received a copy of the GNU General Public License
// along with this program.  If not, see <http://www.gnu.org/licenses/>.
//
// Copyright (C) 2008 by Dr.K@meleon
// ========================================================

100||villin|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
101|171.64.122.114|p101_|0|15.00|22.00|74.00|100|GROMACS|*Peptide Stabilisation||
103||EngHomeodomain|0|0.00|3.00|1.00|0||*DNA Binding Domain||
104||ActinBinding|0|0.00|6.00|2.00|0||*Actin Binding Domain||
105||Villin|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
106||NativeVillin|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
107||1 CH3 (Villin control)|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
110||AlzheimerB28-42|0|0.00|3.00|0.00|0||Alzheimers||
111||proteinA|601|0.00|9.00|5.00|0||*Antibody Target||
112||proteinAnat|601|0.00|9.00|5.00|0||*Antibody Target||
113||proteinAg29a|602|0.00|9.00|5.00|0||*Antibody Target||
114||proteinAg29aNat|602|0.00|9.00|5.00|0||*Antibody Target||
115||2SPZ|0|0.00|0.00|1.00|0||*Antibody Target||
116||2ABD|0|0.00|0.00|3.00|0||*ACA Binding Protein||
117||1APS|0|0.00|0.00|4.00|0||*Carboxy-Phophatase Hydrolysis Catalase||
118||1UBQ|0|0.00|0.00|2.00|0||*Proteolysis Marker||
119||I6C|0|0.00|0.00|1.00|0||*Isomerase||
120||1SHF|0|0.00|0.00|1.00|0||*ATP Binding, Protein Kinase Activity||
121||p121_2SPZ|0|0.00|4.00|1.00|0||*Antibody Target||
122||p122_2ABD|0|0.00|8.00|2.00|0||*ACA Binding Protein||
123||p123_1APS|0|0.00|10.00|3.00|0||*Carboxy-Phophatase Hydrolysis Catalase||
124||p124_1UBQ|0|0.00|6.00|1.00|0||*Proteolysis Marker||
125||p125_I6C|0|0.00|3.00|0.00|0||*Isomerase||
126||p126_1SHF|0|0.00|5.00|1.00|0||*ATP Binding, Protein Kinase Activity||
127||p127_wwext|398|0.00|6.00|2.00|0||*Proline Ligand Binding||
128||p128_wwmut|395|0.00|6.00|2.00|0||*Proline Ligand Binding||
129||p129_1IGD|564|0.00|3.00|2.00|0||*Antibody Target||
131|171.64.122.117|p131_2SPZunf|607|0.00|4.00|1.00|0||*Antibody Target||
132|171.64.122.117|p132_2ABDunf|907|0.00|8.00|2.00|0||*ACA Binding Protein||
133|171.64.122.117|p133_1APSunf|1022|0.00|10.00|3.00|0||*Carboxy-Phophatase Hydrolysis Catalase||
134|171.64.122.117|p134_1UBQunf|766|0.00|6.00|1.00|0||*Proteolysis Marker||
135|171.64.122.117|p135_1I6Cunf|430|0.00|3.00|0.00|0||*Isomerase||
136|171.64.122.117|p136_1SHFunf|623|0.00|5.00|1.00|0||*ATP Binding, Protein Kinase Activity||
137|171.64.122.112|p137_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
138|171.64.122.112|p138_1L2Ynative|198|0.00|4.00|0.00|0||Diabetes||
139|171.64.122.112|p139_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
140|171.64.122.112|p140_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
141|171.64.122.112|p141_1L2Yunf|201|0.00|4.00|0.60|0||Diabetes||
142|171.64.122.112|p142_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
143|171.64.122.112|p143_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
144|171.64.122.112|p144_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
145|171.64.122.112|p145_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
146|171.64.122.112|p145_1L2Yunf|201|0.00|20.00|6.00|0||Diabetes||
147|171.64.122.112|p147_1L2Yunf|201|0.00|4.00|0.00|0||Diabetes||
160|171.64.122.109|p160_vill8MUre99p|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
161|171.64.122.109|p161_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
162|171.64.122.109|p162_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
163|171.64.122.109|p163_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
164|171.64.122.109|p164_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
165|171.64.122.109|p165_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
166|171.64.122.109|p166_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
167|171.64.122.109|p167_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
168|171.64.122.109|p168_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
169|171.64.122.109|p169_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
170|171.64.122.109|p170_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
171|171.64.122.109|p171_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
172|171.64.122.109|p172_villin|392|0.00|6.00|2.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
180|171.64.122.119|p180_enghomeoGB|613|19.00|19.00|93.00|100|TINKER|*DNA Binding Domain|NA|
181|171.64.122.119|p181_enghomeoPB0.5|613|0.00|15.00|8.00|0||*DNA Binding Domain||
182|171.64.122.119|p182_enghomeoGB|613|19.00|19.00|93.00|100|TINKER|*DNA Binding Domain|NA|
183|171.64.122.109|p183_1I6Cunf|430|0.00|6.00|0.00|100|TINKER|*Isomerase||
184|171.64.122.119|p184|610|19.00|19.00|93.00|100|TINKER|*DNA Binding Domain|NA|
185|171.64.122.119|p185|610|19.00|19.00|93.00|100|TINKER|*DNA Binding Domain|NA|
186|171.64.122.109|P186_1fsvunf280|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
187|171.64.122.109|P187_1FSVnat|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
188|171.64.122.109|P188_1fsvunf300|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
189|171.64.122.109|P189_1fsvunf320|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
190|171.64.122.109|P190_1fsvunf340|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
191|171.64.122.117|pAla7|11455|0.00|21.00|18.00|0||*Synthetic Construct||
192|171.64.122.117|pAla7-2|11455|0.00|11.00|10.00|0||*Synthetic Construct||
200|171.64.122.117|P200_villin|392|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
201|171.64.122.108|p201|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
202|171.64.122.108|p202|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
203|171.64.122.108|p203|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
204|171.64.122.108|p204|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
205|171.64.122.108|p205|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
206|171.64.122.108|p206|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
207|171.64.122.108|p207|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
208|171.64.122.108|p208|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
209|171.64.122.108|p209|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
210|171.64.122.108|p210|392|0.00|12.00|7.00|100|TINKER|Gastrointestinal tumors and Adenocarcinomas|
211|171.64.122.109|P211_1fsvunf280|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
212|171.64.122.124|p212_villinURE212|20605|27.00|39.00|135.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
213|171.64.122.109|P213_1fsvunf320|343|0.00|8.00|6.00|200|TINKER|*Synthetic Construct||
214|171.64.122.124|p214_villin4Mure|6130|16.00|22.00|64.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
215|171.64.122.124|p215_villin1Murea|6127|14.00|20.00|54.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
216|171.64.122.124|p216_villin0Murea|6409|14.00|20.00|54.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
217|171.64.122.124|p217_c28Murea|18111|46.00|68.00|236.00|100|GROMACS|Calcium Sensitivity|rbrandman|
218|171.64.122.124|p218_c24Murea|16841|38.00|54.00|186.00|100|GROMACS|Calcium Sensitivity|rbrandman|
219|171.64.122.124|p219_c21Murea|17240|34.00|48.00|160.00|100|GROMACS|Calcium Sensitivity|rbrandman|
220|171.64.122.124|p220_c20Murea|17368|32.00|44.00|148.00|100|GROMACS|Calcium Sensitivity|rbrandman|
221|171.64.122.124|p221_NTL98Murea|3366|12.00|20.00|42.00|100|GROMACS|General|rbrandman|
223|171.64.122.124|p223_NTL94Murea|3411|10.00|20.00|38.00|100|GROMACS|General|rbrandman|
224|171.64.122.124|p224_NTL91Murea|3403|10.00|20.00|34.00|100|GROMACS|General|rbrandman|
227|171.64.122.124|p227_NTL90Murea|3418|10.00|20.00|32.00|100|GROMACS|General|rbrandman|
230|171.64.122.124|p230_villin8Murea4nmBox|6372|18.00|26.00|78.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
231|171.64.122.124|p231_vil4MUre99p|6130|14.00|19.00|64.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
233|171.64.122.124|p233_vil1MUre99p|6127|12.00|17.00|53.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
234|171.64.122.124|p234_vil0MUre99p|6409|11.00|16.00|52.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
235|171.64.122.127|p235_c28MUre99p|18111|45.00|67.00|239.00|100|GROMACS|Calcium Sensitivity|rbrandman|
236|171.64.122.127|p236_c24MUre99p|16841|36.00|52.00|185.00|100|GROMACS|Calcium Sensitivity|rbrandman|
237|171.64.122.127|p237_c21MUre99p|17240|31.00|46.00|160.00|100|GROMACS|Calcium Sensitivity|rbrandman|
238|171.64.122.127|p238_c20MUre99p|17368|29.00|42.00|148.00|100|GROMACS|Calcium Sensitivity|rbrandman|
239|171.64.122.127|p239_NTL8MUre99p|3366|10.00|13.00|42.00|100|GROMACS|General|rbrandman|
240|171.64.122.127|p240_NTL4MUre99p|3411|9.00|12.00|38.00|100|GROMACS|General|rbrandman|
241|171.64.122.127|p241_NTL1MUre99p|3403|8.00|11.00|33.00|100|GROMACS|General|rbrandman|
242|171.64.122.127|p242_NTL0MUre99p|3418|8.00|11.00|32.00|100|GROMACS|General|rbrandman|
243|171.64.122.127|p243_vil8MUreGS|6372|16.00|23.00|78.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
244|171.64.122.127|p244_vil4MUreGS|6130|14.00|19.00|63.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
245|171.64.122.127|p245_vil1MUreGS|6127|12.00|17.00|54.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
246|171.64.122.127|p246_vil0MUreGS|6409|12.00|16.00|53.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|rbrandman|
247|171.64.122.127|p247_c28MUreGS|18111|45.00|66.00|235.00|100|GROMACS|Calcium Sensitivity|rbrandman|
248|171.64.122.127|p248_c24MUreGS|16841|35.00|52.00|183.00|100|GROMACS|Calcium Sensitivity|rbrandman|
249|171.64.122.127|p249_c21MUreGS|17240|31.00|45.00|158.00|100|GROMACS|Calcium Sensitivity|rbrandman|
250|171.67.89.150|p250_gnra_hybrid_hamiltonian_sjlee|12166|0.00|18.00|53.00|100|GROMACS|General||
